MaSV,10%,20%,20%_1,Thi
b1,9.0,7.0,6.0,6.0
b2,9.0,7.0,6.0,6.0
b3,10.0,9.0,7.0,7.25
b4,9.0,7.0,6.0,6.0
b5,10.0,8.0,7.0,7.5
b6,9.0,7.0,6.5,6.5
b7,0.0,0.0,0.0,0.0
b8,10.0,8.0,6.0,7.25
b9,10.0,8.0,8.0,8.0
b10,10.0,8.0,7.5,8.75
b11,9.0,7.0,6.0,5.5
b12,9.0,7.0,6.0,6.0
b13,10.0,8.0,7.0,7.5
b14,0.0,0.0,0.0,0.0
b15,10.0,8.0,7.0,7.0
b16,10.0,8.0,6.0,7.5
b17,10.0,9.0,7.0,7.25
b18,6.0,5.0,5.0,5.0
b19,9.0,7.0,6.0,6.0
b20,10.0,9.0,7.0,6.5
b21,9.0,7.0,6.0,6.0
b22,9.0,7.0,6.0,3.5
b23,10.0,8.0,7.0,8.0
b24,9.0,6.0,6.0,6.5
b25,10.0,7.0,6.0,6.0
b26,10.0,7.0,6.0,7.0
b27,10.0,6.0,6.0,6.0
b28,10.0,7.0,6.0,7.0
b29,10.0,8.0,6.5,7.5
b30,9.0,8.0,6.0,5.5
b30,9.0,7.0,6.0,6.5
b31,10.0,7.0,6.0,6.0
b32,9.0,7.0,6.0,5.5
b34,9.0,7.0,6.0,4.5
b35,9.0,7.0,6.0,0.0
b36,0.0,0.0,0.0,0.0
b37,10.0,9.0,7.0,7.5
b38,10.0,8.0,7.0,7.0
b39,10.0,8.0,7.5,7.25
b40,0.0,0.0,0.0,0.0
b41,9.0,7.0,6.0,6.5
b42,0.0,0.0,0.0,0.0
b43,10.0,8.0,7.0,7.25
b44,10.0,8.0,7.0,7.25
b45,10.0,7.0,6.0,6.0
b46,10.0,8.0,7.5,7.0
b47,0.0,0.0,0.0,0.0
b48,10.0,8.0,7.0,7.0
b49,9.0,7.0,6.0,6.0
b50,7.0,6.0,5.0,5.0
b51,9.0,7.0,6.0,6.0
b52,9.0,7.0,6.0,5.5
b53,10.0,8.0,7.0,6.75
b54,10.0,8.0,6.0,7.0
a1,9.0,7.0,6.0,6.0
a2,9.0,7.0,6.0,5.5
a3,10.0,8.0,7.0,6.75
a4,10.0,8.0,6.0,7.0
a5,9.0,7.0,6.0,6.0
a6,10.0,8.0,7.0,6.5
a7,9.0,7.0,6.0,6.0
a8,9.0,7.0,6.0,5.0
a9,10.0,7.0,6.0,7.0
a10,9.0,7.0,6.0,5.5
a11,9.0,7.0,6.0,6.0
a12,9.0,7.0,6.0,4.5
a13,9.0,7.0,6.5,6.5
a14,7.0,7.0,6.0,6.75
a15,9.0,7.0,6.0,5.0
a16,10.0,8.0,7.0,6.75
a17,10.0,8.0,7.0,5.5
a18,10.0,8.0,7.0,7.5
a19,9.0,7.0,6.0,6.5
a20,7.0,6.0,5.0,4.5
a21,9.0,7.0,6.0,7.75
a22,0.0,0.0,0.0,0.0
a23,9.0,7.0,6.0,6.75
a24,9.0,7.0,6.0,5.5
a25,9.0,7.0,6.0,7.5
a26,0.0,0.0,0.0,0.0
a27,10.0,8.0,7.0,7.5
a28,10.0,8.0,7.0,6.0
a29,9.0,7.0,6.0,7.0
a30,10.0,8.0,7.0,6.5
a31,9.0,7.0,6.0,6.0
31_011,8.375,7.25,8.5,9.0
31_012,8.25,7.25,8.5,9.0
31_013,8.5,7.5,8.5,10.0
31_014,4.0,7.25,8.5,9.0
31_015,8.75,7.5,8.5,9.5
31_021,7.75,7.75,7.75,7.5
31_022,7.0,3.0,7.0,7.0
31_023,7.5,7.5,7.5,7.5
31_024,7.0,7.0,7.0,7.0
31_025,7.25,7.0,7.0,7.5
31_031,7.625,7.25,7.0,7.25
31_032,7.75,7.25,7.25,7.5
31_033,7.625,7.375,7.75,7.5
31_034,7.5,6.5,6.75,7.0
31_035,7.5,7.25,7.0,7.25
31_041,8.5,8.0,9.0,9.0
31_042,8.125,7.625,7.5,7.75
31_043,8.125,7.625,7.75,7.75
31_044,8.25,7.875,8.0,7.5
31_045,8.0,7.25,8.25,8.0
31_051,7.75,7.0,6.0,7.5
31_052,8.25,7.25,6.5,8.0
31_053,3.5,0.0,0.0,0.0
31_054,8.75,8.0,9.0,8.5
31_055,7.75,7.25,6.75,8.0
31_061,8.0,7.0,7.0,7.5
31_062,7.75,7.625,7.5,7.5
31_063,7.25,7.5,7.0,7.0
31_064,3.75,7.0,7.0,7.0
31_065,8.0,7.125,7.0,7.25
31_071,7.75,7.0,7.0,7.0
31_072,8.125,7.25,7.0,7.5
31_073,8.5,3.75,7.0,7.0
31_074,8.0,3.75,7.0,8.0
31_075,8.375,7.675,7.0,7.5
31_081,7.5,7.5,7.5,8.0
31_082,8.25,7.75,7.0,8.0
31_083,7.0,7.0,7.0,8.0
31_084,8.25,8.0,7.5,8.25
31_085,7.75,7.0,7.0,8.0
31_091,8.25,7.25,7.0,8.0
31_092,7.75,7.0,6.5,7.25
31_093,7.4,6.75,6.0,7.0
31_094,7.5,6.0,6.0,6.5
31_095,0.0,0.0,0.0,0.0
31_101,7.75,6.5,7.5,7.5
31_102,8.0,7.25,7.5,7.5
31_103,8.25,8.25,8.5,8.0
31_104,8.0,7.0,7.5,7.5
31_105,8.25,7.5,7.5,7.75
31_111,8.0,7.875,6.5,7.75
31_112,8.25,7.5,6.5,7.5
31_113,7.75,7.5,7.0,7.5
31_114,8.0,7.25,6.5,7.5
31_115,8.125,7.875,6.0,7.75
31_121,7.5,6.0,7.0,6.5
31_122,7.5,7.625,8.5,8.0
31_123,7.25,6.5,7.5,8.0
31_124,7.75,8.0,9.5,9.0
31_125,7.125,7.0,7.5,8.0
31_131,0.0,0.0,0.0,0.0
31_132,7.625,7.375,7.0,7.0
31_133,0.0,0.0,0.0,0.0
31_134,0.0,7.75,7.5,6.0
31_135,7.5,7.0,7.0,7.0
31_141,7.0,6.25,6.0,7.0
31_142,0.0,0.0,0.0,0.0
31_143,0.5,5.75,5.0,7.0
31_144,7.375,7.375,6.5,7.5
31_145,3.75,2.625,6.0,6.0
31_151,8.25,7.75,8.25,8.0
31_152,3.5,3.25,6.0,6.5
31_153,7.25,6.5,6.0,6.5
31_154,7.75,3.5,7.5,7.5
31_155,0.0,0.0,0.0,0.0
